Employer Name,Employer Industry,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?
HMH Engineering,Civil Engineering,http://www.hmh-llc.com/,,Full-Time,,None,,,,Internship,"Freshman, Sophomore, Junior, Senior, Masters",TRUE,TRUE,FALSE
Hoffman Construction Company,Construction,http://www.hoffmancorp.com,,"Full-Time, Part-Time","Project Engineer (0-3 Years' Experience) - WA, Project Engineer (0-3 Years' Experience) - AZ, Project Engineer (0-3 Years' Experience) - OR, Project Engineer (0-3 Years' Experience) - ID, Intern Project Engineer Summer 2027 - Washington, Quality Coordinator Intern Summer 2027 - Idaho, Intern Project Engineer Summer 2027 - Oregon, Intern Project Engineer Summer 2027 - Texas, CAD/Modeling Technician Intern Summer 2027 - TX, CAD/Modeling Technician Intern Summer 2027 - ID, Intern Project Engineer Summer 2027 - Idaho","Project Engineer (0-3 Years' Experience) - WA, Project Engineer (0-3 Years' Experience) - AZ, Project Engineer (0-3 Years' Experience) - OR, Project Engineer (0-3 Years' Experience) - ID, Quality Coordinator Intern Summer 2027 - Idaho, Intern Project Engineer Summer 2027 - Oregon, CAD/Modeling Technician Intern Summer 2027 - TX, CAD/Modeling Technician Intern Summer 2027 - ID","Civil Engineering, Civil Engineering BS, Computer Engineering BS, Computer Science BS, Construction Management, Construction Mgmt BS, Data Science MS, Electrical Engineering, Electrical Engineering BS, Engineering, Engineering Bs, Engineering Undeclared, Environ & Occup Health BS, Mathematical Sciences BS, Mathematics, Mathematics BA, Mathematics BS, Mechanical Engineering, Mechanical Engineering BS","Civil/Environmental Engineering, Computer Engineering, Computer Programming, Computer Science, Computer Systems Networking & Telecommunications, Construction Engineering, Cyber Security, Data Science, Electrical Engineering, General Engineering, Information Systems Management, Materials Science & Engineering, Mathematics, Mechanical Engineering, Software Design","Applied Mathematics BS, Artificial Intelligence Sci BS, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering BS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computer Systems Engr BS, Computing PhD, Construction Management, Construction Mgmt BS, Cyber Analyst GR Cert-Onl, Cyber Operations BAS-Online, Cyber Operations BS-Online, Cyber Operations MS-Online, Cyber Operations & Resilience, Cyber Resilience GR Cert-Onl, Cybersecurity MS, Data Science MS, Education, Mathematics MA, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Environ & Occup Health BS, Information Tech Mgmt BBA, Information Technology Mgmt BS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mathematical Sciences BS, Mathematics, Mathematics BA, Mathematics BS, Mathematics Education, MS, Mathematics, MS, Mathematics, Secondary Ed BA, Mathematics, Secondary Educ BS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Middle School Math Teaching En, Pre-Engineering, Pre-Mechanical Engineering, Sciences & Math-Undeclared","Job, Internship","Freshman, Sophomore, Junior, Senior, Alumni",TRUE,FALSE,FALSE
Holland & Hart LLP,Legal & Law Enforcement,https://www.hollandhart.com/,Patent,Full-Time,,Patent Engineer Internship,,"Computer Engineering, Computer Science, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering, Physics","Artificial Intelligence Sci BS, Bachelor of Applied Science, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computer Systems Engr BS, Computing PhD, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Geophysics BS, Geophysics, MS, Geophysics, PhD, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Physics BS, Physics, Secondary Education, Pre-Engineering, Pre-Mechanical Engineering",Internship,"Junior, Senior, Masters, Doctorate, Alumni",TRUE,TRUE,TRUE
Horrocks,Civil Engineering,http://www.horrocksengineers.com,,"Full-Time, Part-Time",,None,,Civil/Environmental Engineering,"Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS","Job, Internship","Sophomore, Junior, Senior",TRUE,TRUE,TRUE
Idaho National Laboratory,Research,https://www.inl.gov/,,"Full-Time, Part-Time",,None,,,,"Job, Internship, Cooperative Education, Experiential Learning, Fellowship","Freshman, Sophomore, Junior, Senior, Masters, Masters of Business Administration, Doctorate, Postdoctoral Studies, Certificate Program, First Year Community / Technical College, Second Year Community / Technical College, Alumni",TRUE,TRUE,TRUE
Idaho Power Company,Other Industries,http://idahopower.com,Engineering,Full-Time,,None,,"Civil/Environmental Engineering, Electrical Engineering, General Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering",Internship,"Junior, Senior, Masters, Doctorate",TRUE,TRUE,FALSE
Idaho Transportation Department,"Government - Local, State & Federal",http://itd.idaho.gov/,,"Full-Time, Part-Time",,Engineer Interns (EITs) ,,,,"Job, Internship",,TRUE,FALSE,FALSE
J.F. Brennan Company,Construction,https://www.jfbrennan.com,J.F. Brennan Company,,,None,,"Civil/Environmental Engineering, Construction Engineering, General Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Freshman, Sophomore, Junior, Senior",TRUE,FALSE,FALSE
Jacobs,Engineering & Construction,http://www.jacobs.com,,Full-Time,,None,,"Civil/Environmental Engineering, Construction Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship, Cooperative Education","Sophomore, Junior, Senior, Masters",TRUE,FALSE,FALSE
Janicki Industries,Manufacturing,http://www.janicki.com,,Full-Time,"NC Engineer, Quality Engineer","NC Engineer, Quality Engineer",,"General Engineering, Materials Science & Engineering, Mechanical Engineering","Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship",,TRUE,FALSE,FALSE
Johnson Barrow Inc,Construction,http://www.jbarrow.com,,Full-Time,,None,,,,"Job, Internship","Junior, Senior, Masters, Certificate Program, Alumni",TRUE,TRUE,TRUE
"Keller Associates, Inc.",Civil Engineering,http://www.kellerassociates.com,,"Full-Time, Part-Time","Civil Engineering Student Intern, Transportation/Civil Project Engineer (EI), Water/Wastewater Project Engineer (EI)","Civil Engineering Student Intern, Transportation/Civil Project Engineer (EI), Water/Wastewater Project Engineer (EI)",,,,"Job, Internship",,TRUE,FALSE,FALSE
Kimley-Horn,Civil Engineering,http://www.kimley-horn.com,Mountain Pacific,Full-Time,,"Civil Analyst, Civil Intern",,Civil/Environmental Engineering,"Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS","Job, Internship","Junior, Senior, Masters",TRUE,FALSE,FALSE
"Kittelson & Associates, Inc.",Civil Engineering,http://www.kittelson.com,,Full-Time,,Transportation Engineer; Transportation Planner; Transportation Intern,,,,"Job, Internship","Freshman, Sophomore, Junior, Senior, Masters, Masters of Business Administration, Doctorate, Postdoctoral Studies, Certificate Program, First Year Community / Technical College, Second Year Community / Technical College, Alumni",TRUE,TRUE,TRUE
KLA Corporation,Manufacturing,https://careers.kla.com/,,Full-Time,,None,,"Chemistry, Computer Engineering, Computer Programming, Computer Science, Electrical Engineering, Materials Science & Engineering, Mechanical Engineering, Physics","Artificial Intelligence Sci BS, Bachelor of Applied Science, Bach of Applied Science-Online, Chemistry BS, Chemistry, MS, Chemistry, Secondary Education, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computer Systems Engr BS, Computing PhD, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Geophysics BS, Geophysics, MS, Geophysics, PhD, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Physics BS, Physics, Secondary Education, Pre-Bachelor of Applied Scienc, Pre-Bach of Applied Sci-Online, Pre-Mechanical Engineering, Sec Education, Chemistry","Job, Internship","Senior, Masters, Masters of Business Administration, Doctorate",TRUE,FALSE,FALSE
KM Engineering,Civil Engineering,http://www.kmengllp.com,,Full-Time,,"Civil Engineer, Civil Engineer Intern ",,Civil/Environmental Engineering,"Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS","Job, Internship",,FALSE,FALSE,FALSE
KPFF Consulting Engineers,Civil Engineering,http://www.kpff.com/,Mountain West,Full-Time,,"Structural Engineering Intern, Structural Engineer, Civil Engineer, Transportation Engineer",,"Civil/Environmental Engineering, Construction Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Construction Management, Construction Mgmt BS","Job, Internship","Junior, Senior, Masters, Doctorate, Postdoctoral Studies, Alumni",TRUE,TRUE,TRUE
Lam Research Corporation,Manufacturing,http://lamresearch.com,,Full-Time,,None,,"Chemistry, Electrical Engineering, Materials Science & Engineering, Mathematics, Mechanical Engineering, Physics","Applied Mathematics BS, Bachelor of Applied Science, Bach of Applied Science-Online, Chemistry BS, Chemistry, MS, Chemistry, Secondary Education, Education, Mathematics MA, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Geophysics BS, Geophysics, MS, Geophysics, PhD, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mathematics, Mathematics BA, Mathematics BS, Mathematics Education, MS, Mathematics, MS, Mathematics, Secondary Ed BA, Mathematics, Secondary Educ BS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Middle School Math Teaching En, Physics BS, Physics, Secondary Education, Pre-Bachelor of Applied Scienc, Pre-Bach of Applied Sci-Online, Pre-Mechanical Engineering, Sciences & Math-Undeclared, Sec Education, Chemistry","Job, Internship","Sophomore, Junior, Senior, Masters, Doctorate",TRUE,FALSE,FALSE
Lumos & Associates,Civil Engineering,http://lumosinc.com,,"Full-Time, Part-Time",,"Project Designer, Surveying Technician","Civil Engineering, Civil Engineering BS, Civil Engineering, MS",,"Civil Engineering, Civil Engineering BS, Civil Engineering, MS","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
Micron Technology Inc.,Electronic & Computer Hardware,http://www.micron.com/universityrecruiting,College Recruiting,,,None,,,,"Job, Internship",,TRUE,TRUE,TRUE
Mission Critical Group,Manufacturing,https://missioncriticalgroup.com/,,Full-Time,,"Mechanical Engineering, Electrical Engineering",,,,"Job, Internship","Junior, Senior, Masters",TRUE,FALSE,FALSE
"Mitsubishi Power Americas, Inc.",Energy,https://power.mhi.com/regions/amer/,Engineering,Full-Time,,"Electrical Engineer, Mechanical Engineer",,,,Job,"Senior, Second Year Community / Technical College",TRUE,FALSE,FALSE
Morrison-Maierle,Civil Engineering,http://www.m-m.net,,Full-Time,,None,,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering",Job,"Senior, Masters, Doctorate",TRUE,FALSE,FALSE
Nasland Engineering,Civil Engineering,http://www.nasland.com/,,"Full-Time, Part-Time",,Civil Engineer Intern,,,,Internship,"Sophomore, Junior, Senior",TRUE,FALSE,FALSE
Naval Nuclear Laboratory,Defense,https://navalnuclearlab.energy.gov/,,Full-Time,,"Associate mechanical engineer, associate chemical engineer, associate computer and electrical engineer - software, associate data engineer, associate engineer of radiological work, associate health physicist,, associate electrical engineer,  associate fire protection engineer, associate nuclear engineer",,"Biomedical Engineering, Chemistry, Civil/Environmental Engineering, Computer Engineering, Computer Programming, Computer Science, Computer Systems Networking & Telecommunications, Construction Engineering, Cyber Security, Data Science, Electrical Engineering, General Engineering, Information Systems Management, Materials Science & Engineering, Mathematics, Mechanical Engineering, Physics, Software Design","Applied Mathematics BS, Artificial Intelligence Sci BS, Bachelor of Applied Science, Bach of Applied Science-Online, Biomedical Engineering, Chemistry BS, Chemistry, MS, Chemistry, Secondary Education, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computer Systems Engr BS, Computing PhD, Construction Management, Construction Mgmt BS, Cyber Analyst GR Cert-Onl, Cyber Operations BAS-Online, Cyber Operations BS-Online, Cyber Operations MS-Online, Cyber Operations & Resilience, Cyber Resilience GR Cert-Onl, Cybersecurity MS, Data Science MS, Education, Mathematics MA, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Geophysics BS, Geophysics, MS, Geophysics, PhD, Information Tech Mgmt BBA, Information Technology Mgmt BS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mathematics, Mathematics BA, Mathematics BS, Mathematics Education, MS, Mathematics, MS, Mathematics, Secondary Ed BA, Mathematics, Secondary Educ BS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Middle School Math Teaching En, Physics BS, Physics, Secondary Education, Pre-Bachelor of Applied Scienc, Pre-Bach of Applied Sci-Online, Pre-Engineering, Pre-Mechanical Engineering, Sciences & Math-Undeclared, Sec Education, Chemistry","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters",TRUE,FALSE,FALSE
NV5,Civil Engineering,http://www.nv5.com,,"Full-Time, Part-Time",,Civil Intern - Development Services / Transportation Services; Civil EIT - Development Services / Transportation Services,,"Civil/Environmental Engineering, General Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Sophomore, Junior, Senior, Masters",TRUE,TRUE,FALSE
"NxEdge, Inc.",Manufacturing,http://www.nxedgeinc.com,Engineering,Full-Time,,"Mechanical Engineer, Electrical Engineer, Manufacturing Engineer, Quality Engineer",,,,"Job, Internship","Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
Osborn Consulting,Civil Engineering,http://www.osbornconsulting.com,Water Resources,Full-Time,Civil Engineering Intern,Civil Engineering Intern,,,,"Job, Internship",,TRUE,FALSE,FALSE
Plexus Corp.,Manufacturing,http://www.plexus.com,,,,None,"Biomedical Engineering, Business Administration, Computer Engineering BS, Computer Engineering, MEngr, Computer Engineering, MS, Electrical & Computer Engr MS, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Finance BBA, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Supply Chain Management BBA",,"Biomedical Engineering, Business Administration, Computer Engineering BS, Computer Engineering, MEngr, Computer Engineering, MS, Electrical & Computer Engr MS, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Finance BBA, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Supply Chain Management BBA",Internship,,TRUE,FALSE,FALSE
Prime Controls,Other Industries,http://www.prime-controls.com/careers,Electrical Engineering,Full-Time,,"Controls Engineer, Intern, Superintendents, Contruction Managers",,,,Job,"Junior, Senior, Masters",TRUE,FALSE,FALSE
Provost & Pritchard Consulting Group,Civil Engineering,https://www.provostandpritchard.com,,"Full-Time, Part-Time",,None,"Biology BS, Biology, MA, Biology, MS, Civil Engineering, Civil Engineering BS, Civil Engineering, MS, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MS, Environmental Science BS, Geology, MS, Urban Studies & Community Dev","Civil/Environmental Engineering, Electrical Engineering, General Engineering","Biology BS, Biology, MA, Biology, MS, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Environmental Science BS, Geology, MS, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering, Urban Studies & Community Dev",Job,"Sophomore, Junior, Senior, Masters",TRUE,FALSE,FALSE
Puget Sound Naval Shipyard and Intermediate Maintenance Facility,Defense,https://www.navsea.navy.mil/home/shipyards/psns-imf/,Engineering Services,Full-Time,Entry Level Engineer,Entry Level Engineer,,"Biomedical Engineering, Civil/Environmental Engineering, Computer Engineering, Construction Engineering, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering","Biomedical Engineering, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering",Job,"Junior, Senior, Masters",TRUE,FALSE,FALSE
Quality Electric,Construction,https://qeidaho.com/,,Full-Time,,"Project Manager, Project Admin,  Drafter",,,,Job,"Junior, Senior, Alumni",TRUE,TRUE,TRUE
Quanta Infrastructure Solutions Group,Engineering & Construction,https://quantaisg.com/,,Full-Time,,"Design Engineers, Assistant Project Managers",,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Alumni",TRUE,FALSE,FALSE
"Record Steel and Construction, Inc dba RSCI",Other Industries,http://WWW.rscigroup.com,,,,None,,"Civil/Environmental Engineering, Computer Systems Networking & Telecommunications, Construction Engineering, Electrical Engineering, Materials Science & Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Systems Engr BS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship",,TRUE,TRUE,TRUE
"RH2 Engineering, Inc.",Civil Engineering,http://www.rh2.com,,Full-Time,,None,,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship",,TRUE,FALSE,FALSE
"RTM Engineering Consultants, LLC",Engineering & Construction,https://rtmec.com/,,"Full-Time, Part-Time","Civil Engineer I, Design Engineer, Project (Civil) Internship, Electrical Engineer I, Mechanical Engineer I, Project (MEP) internship, Project (Structural) Internship","Civil Engineer I, Design Engineer, Project (Civil) Internship, Electrical Engineer I, Mechanical Engineer I, Project (MEP) internship, Project (Structural) Internship",,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Alumni",TRUE,TRUE,TRUE
Schweitzer Engineering Laboratories,Electronic & Computer Hardware,http://www.selinc.com,,"Full-Time, Part-Time",,"Engineering Intern, Associate Engineer, Associate Application Engineer",,"Computer Engineering, Computer Science, Electrical Engineering","Artificial Intelligence Sci BS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Science BS, Computer Science, MS, Computer Systems Engr BS, Computing PhD, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS","Job, Internship","Sophomore, Junior, Senior, Masters",TRUE,TRUE,TRUE
SEMICS Inc,Engineering & Construction,http://www.semics.com,Field Servie Application Engineer,Full-Time,Field Application & Service Engineer,Field Application & Service Engineer,,,,Job,"Senior, Masters, Masters of Business Administration, Alumni",TRUE,FALSE,FALSE
Sletten Companies,Construction,http://www.slettencompanies.com,,,,None,,"Civil/Environmental Engineering, Construction Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Construction Management, Construction Mgmt BS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering",Internship,"Freshman, Sophomore, Junior, Senior",TRUE,TRUE,TRUE
Southland Industries,Engineering & Construction,https://southlandind.com/,Northwest,"Full-Time, Part-Time",,None,,"Biomedical Engineering, Civil/Environmental Engineering, Computer Engineering, Construction Engineering, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering","Biomedical Engineering, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering",Internship,"Sophomore, Junior, Senior, Masters",TRUE,TRUE,FALSE
SSOE Group,Architecture and Planning,http://www.ssoe.com,,Full-Time,,None,,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Internship, Cooperative Education","Sophomore, Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
